smiles,segment_id,seed_idx,seed_reward_qed_mw,QED,SA,sim_g12d,novelty_raw,physchem_score,molwt,f_qed,f_sa,f_sim,f_novelty,f_physchem,reward
CC1CN(c2ccccc2)CCN1C(=O)c1cscc(O)nc(-c2ccccn2)nc1C=N,2,32,0.6249620044663522,0.5741587373829137,6.292818708445583,0.17272727272727273,0.3661971830985915,1.0,460.56300000000005,0.7741587373829136,0.46339766144430217,0.0,1.0,1.0,1.6997086140149382
CC1CN(c2ccccc2)CCN1C(=O)C=CSC=C1N=C(c2ccccn2)N=CCSO1,2,32,0.6249620044663522,0.4688173248047042,6.170701168210771,0.1623931623931624,0.5697674418604651,1.0,479.63100000000014,0.6688173248047042,0.47866235397365364,0.0,1.0,1.0,1.585510672944568
CC1CN(c2ccccc2)C=CN1C(=O)c1csc2c(O)nc(-c3ccccn3)nc12,2,32,0.6249620044663522,0.5234282151463816,6.337918431233423,0.18947368421052632,0.31818181818181823,1.0,429.5050000000001,0.7234282151463816,0.4577601960958221,0.0,1.0,1.0,1.6343220150523157
Nc1nc(-c2ccccn2)nc2c(C(=O)N3CCNC(c4ccc(O)cc4)C3)csc12,2,40,0.5643361970335375,0.45561170591824374,6.476145391767127,0.20618556701030927,0.1384615384615384,1.0,432.50900000000007,0.6556117059182437,0.4404818260291091,0.030927835051546282,0.19230769230769204,1.0,1.333925217679343
O=C(NCCOC(CSO)c1nccs1)c1csc2c(O)nc(-c3ccccn3)nc12,2,31,0.6304056959240253,0.24535820625852325,6.696146852940488,0.1504424778761062,0.5696202531645569,1.0,475.5770000000002,0.0,0.41298164338243903,0.0,1.0,1.0,0.7303853147059512
O=C(c1csc2c(O)nc(C3=CC=C=NN3)nc12)N1CCOC(c2nccs2)C1,2,31,0.6304056959240253,0.6597580222325713,6.527981720804714,0.1452991452991453,0.33333333333333337,1.0,426.48300000000023,0.8597580222325713,0.43400228489941073,0.0,1.0,1.0,1.7789114545986142
CC12C=NC=C1c1cccnc1-c1nc(O)c3scc(c3n1)C(=O)NCCO2,2,31,0.6304056959240253,0.6069506701907887,6.292025545880906,0.1834862385321101,0.6533333333333333,1.0,393.42800000000017,0.8069506701907887,0.4634968067648868,0.0,0.7333333333333333,1.0,1.659138249640856
C=C1COC=NC(c2ccccn2)=N1,2,28,0.6860289468652685,0.6667299492435276,4.584498358644548,0.12941176470588237,0.75,0.0,187.202,0.8667299492435275,0.6769377051694315,0.0,0.2499999999999999,0.0,1.6566261032277783
C1=NC(c2ccccn2)=NCSCO1,2,28,0.6860289468652685,0.7013110482960252,4.706077666216448,0.12790697674418605,0.7307692307692308,0.0,207.25799999999992,0.9013110482960252,0.661740291722944,0.0,0.3461538461538457,0.0,1.7148116451797393
O=C(C=CSCl)NN1CCOC(c2ccccc2Cl)C1,2,34,0.5980024076724674,0.8598037327156127,5.169226403219304,0.15789473684210525,0.641025641025641,1.0,333.2400000000001,0.9202616897125164,0.603846699597587,0.0,0.794871794871795,1.0,1.9258529257946277
O=Cc1csc2c(O)nc(-c3ccccn3)nc12,2,34,0.5980024076724674,0.7125529428580691,5.612460439018292,0.1590909090909091,0.43137254901960786,0.10183600000000001,257.274,0.9125529428580691,0.5484424451227135,0.0,1.0,0.10183600000000001,1.8440010875278536
O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CSOC(c2ccccc2Cl)C1,2,34,0.5980024076724674,0.4243780583230983,6.48947549576933,0.16981132075471697,0.22058823529411764,1.0,470.9630000000002,0.6243780583230982,0.43881556302883373,0.0,0.6029411764705881,1.0,1.3811884733519613
O=C1CSc2c(O)nc(-c3ccccn3)nc21,2,34,0.5980024076724674,0.8207304522053938,5.485196639819193,0.1744186046511628,0.5416666666666667,0.0,245.263,0.972359397059475,0.5643504200226008,0.0,1.0,0.0,1.9183116124894506
