smiles,QED,SA,P_pred,R_novel
C=CC(=O)N1CCC2c3[nH]n(c(=NCOC[C@@H]4CCCN4C)c3CCN2c2cc(O)cc3ccccc23)CC1,0.3776290614705643,6.636756229379831,0.2949068758856416,0.48484848484848486
C=CC(=O)N1CCN(N=NC(=NC2=CCCN(c3cc(O)cc4ccccc34)C2)OC[C@@H]2CCCN2C)CC1,0.2636633387799534,6.507407538877727,0.2412421230707299,0.44680851063829785
C=CC1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cc(O)cc4ccccc24)C3)CCN1,0.4822879524673236,6.55765203220388,0.5498003678866316,0.25
C=CC(=O)NCC1CCN1c1nc(OC[C@@H]2CCCN2C)ncc1C1CN(C=CC2PCOCc3ccccc32)C1,0.3392569259203149,6.789265665717203,0.481415880391206,0.6779661016949152
C=CC(=O)NC1CCN(C=NC(C=NC2=CCCN(c3cc(O)cc4ccccc34)C2)OCO[C@@H]2CCCN2)C1,0.1718954235734964,6.704680281571644,0.1709460579251781,0.6779661016949152
CN(C)Cc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21,0.6946747064574641,5.763408934598926,0.2629016621563346,0.0
CNCc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21,0.6000259768102013,5.799315104370661,0.2836247261508718,0.2592592592592593
CN(C)Cc1[nH]c2ccccc2c1[C@H]1CC(=O)c2ccc(O)cc21,0.7742480801217135,5.628975810752137,0.2729966549467242,0.3035714285714286
C#N,0.3697970178104732,1.7455829697313583,0.1721525823456256,0.9642857142857143
O=C1N[C@H](c2c(CNCC3[CH]C=c4ccn(Cc5ccccc5)c4=C3)[nH]c3ccccc23)c2cc(O)ccc21,0.2676980089146414,6.74482131485742,0.3027687589203995,0.3493975903614458
[NH]SC=c1c(=CC=CCNCC2=C[C@@H]3CC(O)=CC=C(C(=O)N3)c3ccccc32)ccn1Cc1ccccc1,0.3011298418240765,6.465982101669335,0.1941916586935864,0.7247706422018348
O=CN[C@@H](C=Cc1ccco1)c1c(CNCc2ccc3ccn(Cc4ccccc4)c3c2)[nH]c2ccccc12,0.1715950173974224,6.70975299610118,0.2157848092772097,0.5222222222222221
O=CN[CH][C@@H]1c2ccccc2NC1CNCc1ccc2ccn(Cc3ccccc3)c2c1,0.3526149447732141,6.299250146348411,0.2955071922994555,0.5647058823529412
O=C1C=CC=C(O)C=C[C@@H](c2c(CNCc3ccc4ccn(Cc5ccccc5)c4c3)[nH]c3ccccc23)N1,0.2091694183658487,6.572481103675974,0.3139653940969474,0.3855421686746988
OC1=CCC(N[CH]c2c(CNCC3=CC=CC4=CNC(C5=CCNC=N5)C4=C3)[nH]c3ccccc23)CC=C1,0.3214604882637817,6.593109563470854,0.2282764980441383,0.7777777777777778
CNC=NC1=CC1n1ccc2ccc(CNCc3[nH]c4ccccc4c3[C@H]3NC(=O)c4ccc(O)cc43)cc21,0.1530654825455489,6.902364144807755,0.2963655504538964,0.3294117647058824
Cn1cnc(Cn2ccc3ccc(CNCc4[nH]c5ccccc5c4[C@H]4NC(=O)c5ccc(O)cc54)cc32)n1,0.2544446500769662,6.953170640727988,0.4662201799332989,0.21176470588235297
Cn1cnc(Cn2ccc3ccc(CNCc4[nH]c5ccccc5c4[C@H]4NC(=O)c5ccc(N)cc54)cc32)c1,0.2331010747608371,6.89674551387329,0.7217686239377652,0.13580246913580252
O=C1N[C@H](C2C=CC=CCC#CN2CC2=CC=CC=C(NCC3=CCNC=N3)C=C2)c2cc(O)ccc21,0.4585711350621237,6.297630003265239,0.4534068804128983,0.752212389380531
CN1CCC(COC=NC2=CC(F)C(c3cc(O)cc4ccccc34)=C(F)C(=N)N3C4CCC3CN2C4)C1,0.44646779239336,6.71455785984512,0.5636892708837864,0.6880733944954128
