smiles,seed_idx,seed_reward_qed_mw,QED,SA,sim_g12d,novelty_raw,physchem_score,molwt,f_qed,f_sa,f_sim,f_novelty,f_physchem,reward
Cc1ccc2[nH]ncc2c1-c1cc2nc(OCCc3nccn3C)nc(N3CC4CCC(C3)N4)c2cn1,147,0.4848044503869664,0.3697313279606232,6.923312796024015,0.5108695652173914,0.2592592592592593,1.0,495.59100000000024,0.4183879677637392,0.38458590049699815,1.0,0.7962962962962964,1.0,2.3486231706029748
FC=C(N=C1C=NC(OCC23CCCN2CCC3)=NC1N1CC2CCC(C1)N2)c1cccc2cccc(F)c12,262,0.5022140297202404,0.6145707657557122,6.691153814806946,0.4421052631578947,0.5578947368421052,1.0,532.6390000000001,0.8145707657557122,0.4136057731491317,1.0,1.0,1.0,2.9083695374261596
OC1=CC=CC2=CC=C=C(c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)C12,49,0.503099667316813,0.5457113465757576,6.888639304314915,0.625,0.34523809523809523,1.0,540.6430000000005,0.7457113465757575,0.3889200869606356,1.0,1.0,1.0,2.8059896854594175
CN=C(N=C(C=CN=CCC=CC=CC=CC=CO)N1CC2CCC(C1)N2)OCC12CCCN1CCC2,49,0.503099667316813,0.21225722838188374,6.180513982330998,0.3229166666666667,0.6770833333333333,1.0,506.69500000000056,0.0,0.4774357522086252,0.6145833333333334,0.6145833333333336,1.0,1.4038236017669004
CN(C)c1nc(N2CC3CCC(C2)N3)c2cnc(-c3c#ccccccc(O)c3)c(F)c2n1,239,0.5991900719533763,0.6420990159500147,6.291002097636044,0.5128205128205128,0.34246575342465757,1.0,444.5140000000001,0.8420990159500147,0.4636247377954945,1.0,1.0,1.0,2.9814186093764135
Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCC4=C=NC(F)C=N4)nc3c2F)c2ccccc2c1,163,0.4541183758430486,0.34996182214451554,6.959314202715603,0.7307692307692307,0.25316455696202533,1.0,541.5620000000002,0.29977093286709333,0.3800857246605496,1.0,0.7658227848101266,1.0,2.19354053461199
CN(C)C1(C)CCC2C(F)=C(c3cccc4cccc(Cl)c34)N=CC2=C(N2CC3CCC(C2)N3)N=CNC1,192,0.526988355491457,0.5672894682810722,6.376482541037037,0.4482758620689655,0.5517241379310345,1.0,535.1110000000002,0.7672894682810721,0.4529396823703704,1.0,1.0,1.0,2.883099107833583
CC1Nc2c(F)cccc2-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CCCCC(C2)N1,84,0.5700758360149265,0.5000740154401031,6.885827577660466,0.725,0.275,1.0,535.6430000000005,0.7000740154401031,0.38927155279244174,1.0,0.875,1.0,2.714006060762077
CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cnc(-c3cc(O)cc4c3CC=C=C4)c(F)c2n1,20,0.4910502818515307,0.4991312112992519,6.765019014874444,0.7317073170731707,0.2682926829268293,1.0,514.6050000000001,0.6991312112992518,0.40437262314069455,1.0,0.8414634146341463,1.0,2.7148945764619015
CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2c(n1)=C(F)CCc1cccc3cc(O)cc(c13)C=NC=2,20,0.4910502818515307,0.5244112972586653,6.741218642274183,0.5567010309278351,0.44329896907216493,1.0,542.6590000000002,0.7244112972586653,0.4073476697157271,1.0,1.0,1.0,2.7951716924829797
