smiles,QED,SA,P_pred,R_novel,s_act,s_qed,s_sa,s_novel,Reward
C=CC(=O)N1CCC2c3[nH]n(c(=NCOC[C@@H]4CCCN4C)c3CCN2c2cc(O)cc3ccccc23)CC1,0.3776290614705643,6.636756229379831,0.2949068758856416,0.4848484848484848,0.0,0.8881453073528214,0.3408109426550423,0.35606060606060597,0.2635942803046031
C=CC(=O)N1CCN(N=NC(=NC2=CCCN(c3cc(O)cc4ccccc34)C2)OC[C@@H]2CCCN2C)CC1,0.2636633387799534,6.507407538877727,0.2412421230707299,0.4468085106382978,0.0,0.31831669389976697,0.37314811528056824,0.30851063829787223,0.15371849375096064
C=CC1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cc(O)cc4ccccc24)C3)CCN1,0.4822879524673236,6.55765203220388,0.5498003678866316,0.25,0.09960073577326312,1.0,0.3605869919490301,0.062499999999999986,0.33002280306510073
C=CC(=O)NCC1CCN1c1nc(OC[C@@H]2CCCN2C)ncc1C1CN(C=CC2PCOCc3ccccc32)C1,0.3392569259203149,6.789265665717203,0.481415880391206,0.6779661016949152,0.0,0.6962846296015746,0.30268358357069935,0.597457627118644,0.229666523990387
C=CC(=O)NC1CCN(C=NC(C=NC2=CCCN(c3cc(O)cc4ccccc34)C2)OCO[C@@H]2CCCN2)C1,0.1718954235734964,6.704680281571644,0.1709460579251781,0.6779661016949152,0.0,0.0,0.323829929607089,0.597457627118644,0.09463886727735
CN(C)Cc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21,0.6946747064574641,5.763408934598926,0.2629016621563346,0.0,0.0,1.0,0.5591477663502684,0.0,0.3118295532700537
CNCc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21,0.6000259768102013,5.799315104370661,0.2836247261508718,0.2592592592592593,0.0,1.0,0.5501712239073349,0.07407407407407411,0.3137379484851707
CN(C)Cc1[nH]c2ccccc2c1[C@H]1CC(=O)c2ccc(O)cc21,0.7742480801217135,5.628975810752137,0.2729966549467242,0.3035714285714286,0.0,1.0,0.5927560473119657,0.12946428571428573,0.32502442374810747
C#N,0.3697970178104732,1.7455829697313583,0.1721525823456256,0.9642857142857144,0.0,0.8489850890523659,1.0,0.955357142857143,0.41756487495333033
O=C1N[C@H](c2c(CNCC3[CH]C=c4ccn(Cc5ccccc5)c4=C3)[nH]c3ccccc23)c2cc(O)ccc21,0.2676980089146414,6.74482131485742,0.3027687589203995,0.3493975903614458,0.0,0.33849004457320697,0.313794671285645,0.18674698795180722,0.13979429256936077
[NH]SC=c1c(=CC=CCNCC2=C[C@@H]3CC(O)=CC=C(C(=O)N3)c3ccccc32)ccn1Cc1ccccc1,0.3011298418240765,6.465982101669335,0.1941916586935864,0.7247706422018348,0.0,0.5056492091203824,0.38350447458266634,0.6559633027522934,0.21062890187822442
O=CN[C@@H](C=Cc1ccco1)c1c(CNCc2ccc3ccn(Cc4ccccc4)c3c2)[nH]c2ccccc12,0.1715950173974224,6.70975299610118,0.2157848092772097,0.5222222222222221,0.0,0.0,0.32256175097470496,0.4027777777777776,0.08465123908382988
O=CN[CH][C@@H]1c2ccccc2NC1CNCc1ccc2ccn(Cc3ccccc3)c2c1,0.3526149447732141,6.299250146348411,0.2955071922994555,0.5647058823529412,0.0,0.7630747238660703,0.42518746341289715,0.4558823529411764,0.2604465551028523
